,Amse,Anat,Anmi,Anro,Brac,Brox,Bril,Cahi,Clpa,Dimo,Disc,Ense,Freb,Hatr,Iste,Leal,Leju,Lohe,Plre,Popl,Raco,Raob,Sead,Thas,Thde
BN2,1,0.9,2.1,0,0,0.9,1.8,0.9,0,1.8,0,0,3.7,0,16.1,3.1,1.8,20.2,29.4,0,0,0,11,0,0.9
LT1,0,17.6,1,0,3.1,1.8,3.7,1.2,1,0,0,2.8,13.1,0.6,4.6,0,5.5,0.5,5.5,1.1,4,6.1,7.9,3.3,15.6
LT2,5,26.4,5.4,1.4,0,0.8,2,0,8.1,0,0,5.4,10.1,0.6,2.2,0,6.7,1.4,9.5,0.6,0,2.5,6.2,0,1.6
PE3,0,0,0,0,0,0,0,0,0,6.8,2,0,0,0,30.9,44.6,0,7.4,0,0,0,0,6.4,0,0
PO2,0,41.2,9.4,4.7,0,1.6,0.7,0,8.3,0,0,0.8,7,2.2,1.4,0,6.8,0,2.1,0.7,0.9,3.5,3.9,0,0.7
PT1,0,0,0,0,0,0,0,0,0,5.8,7.1,0,0,0,26.8,35.9,0,8.4,3.2,0,0,0,7.4,0,0
PT3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,18.2,59,0,0,0,0,0,0,6.1,0,0
QA1,3.2,27.3,2.4,14,5.3,1.7,5.9,2.2,1.1,0,0,0,7.7,3.8,0.6,0,7.2,0,1.8,2.1,2.3,2.2,4.6,0.5,1.5
QR1,2.3,22.4,0.6,13.6,2.9,0.5,1.6,2.6,0.4,0,0,0,7.5,1.3,2.4,0,9.7,0.9,2.3,3.2,6.2,6.1,5.9,0.9,0.4
